depth,avg_time_ns,avg_nodes,win_rate,draw_rate,loss_rate
1,73653.61538461539,5.497737556561086,0.5,0.04,0.46
2,126756.7737556561,5.506787330316742,0.48,0.06,0.46
3,66072.15315315315,5.468468468468468,0.56,0.02,0.42
4,54398.12719298246,5.385964912280702,0.68,0.02,0.3
5,66053.6046511628,5.586046511627907,0.58,0.02,0.4
6,65938.61818181818,5.5181818181818185,0.58,0.0,0.42
