depth,avg_time_ns,avg_nodes,win_rate,draw_rate,loss_rate
1,76202.82432432432,5.495495495495495,0.6,0.06,0.34
2,622930.3438914027,35.660633484162894,0.96,0.04,0.0
3,6726953.566326531,234.9387755102041,1.0,0.0,0.0
4,33883012.80788177,1163.4926108374384,0.98,0.02,0.0
5,111628103.39336494,5212.715639810426,0.92,0.08,0.0
6,302272930.4070352,19823.447236180906,0.96,0.04,0.0
